# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.112374454736709595e-01 5.520943450927734375e+01 4.133079349994659424e-01 8.750591874122619629e-01 8.246678858995437622e-02 1.324878819286823273e-02 6.334182340651750565e-03 1.860685018647245670e-02
1.000000000000000000e+00 3.347610831260681152e-01 5.528174591064453125e+01 5.084998011589050293e-01 1.224415898323059082e+00 9.215954691171646118e-02 1.424991153180599213e-02 7.311137393116950989e-03 1.644940364485591999e-02
2.000000000000000000e+00 6.131451129913330078e-01 4.612345504760742188e+01 6.478443145751953125e-01 1.543564915657043457e+00 9.773960709571838379e-02 1.686567254364490509e-02 8.002509362995624542e-03 1.567288686868550940e-02
3.000000000000000000e+00 9.885692000389099121e-01 3.585321426391601562e+01 7.083818316459655762e-01 1.586132884025573730e+00 1.072444766759872437e-01 2.117416635155677795e-02 1.091876998543739319e-02 1.533635536054589465e-02
4.000000000000000000e+00 1.347264051437377930e+00 2.968908882141113281e+01 7.705497145652770996e-01 1.334156870841979980e+00 1.302269846200942993e-01 2.538159303367137909e-02 1.294525805860757828e-02 1.217202248790272279e-02
5.000000000000000000e+00 1.495878458023071289e+00 2.833102798461914062e+01 7.097924947738647461e-01 1.135875582695007324e+00 1.658310145139694214e-01 2.922899462282657623e-02 1.399589329957962036e-02 7.072567794239148498e-03
6.000000000000000000e+00 1.657688021659851074e+00 2.725625228881835938e+01 6.132625341415405273e-01 1.048740506172180176e+00 1.866552382707595825e-01 3.060302324593067169e-02 1.799806579947471619e-02 1.316036701609846205e-03
7.000000000000000000e+00 1.998965620994567871e+00 2.148274421691894531e+01 4.550990462303161621e-01 1.889761537313461304e-01 1.640063822269439697e-01 3.798094391822814941e-02 1.949675194919109344e-02 3.516482884151628241e-04
8.000000000000000000e+00 1.967667341232299805e+00 2.071966552734375000e+01 3.085442781448364258e-01 1.563268452882766724e-01 1.327632516622543335e-01 3.611366450786590576e-02 2.102897129952907562e-02 6.183454320307646412e-04
9.000000000000000000e+00 1.201471090316772461e+00 2.478025436401367188e+01 2.072297632694244385e-01 2.477443814277648926e-01 1.467259973287582397e-01 3.616237640380859375e-02 2.340808883309364319e-02 5.115926796861458570e-06
1.000000000000000000e+01 5.223215222358703613e-01 2.788765335083007812e+01 1.022030636668205261e-01 2.620918452739715576e-01 2.185284346342086792e-01 5.043975543230772018e-03 2.974908798933029175e-02 1.424082747689681128e-04
1.100000000000000000e+01 1.098948001861572266e+00 2.065531730651855469e+01 3.453369066119194031e-02 2.650112509727478027e-01 1.162585318088531494e-01 5.731839337386190891e-05 4.118232987821102142e-03 7.435383158735930920e-04
1.200000000000000000e+01 5.527861118316650391e-01 1.655451965332031250e+01 2.630000561475753784e-02 3.629086911678314209e-01 1.004467830061912537e-01 3.677570493891835213e-04 2.470034360885620117e-02 9.054103866219520569e-04
