# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.014801949262619019e-01 5.520825195312500000e+01 3.263439834117889404e-01 7.090121507644653320e-01 9.840605407953262329e-02 1.010846439749002457e-02 5.326569546014070511e-03 1.646055811283986259e-02
1.000000000000000000e+00 3.214012980461120605e-01 5.528393936157226562e+01 4.404551982879638672e-01 9.653508067131042480e-01 1.022341996431350708e-01 1.120263431221246719e-02 6.187047809362411499e-03 1.414049758335522711e-02
2.000000000000000000e+00 5.864887237548828125e-01 4.612425231933593750e+01 5.839613676071166992e-01 1.214255809783935547e+00 1.072376593947410583e-01 1.377150230109691620e-02 6.967962719500064850e-03 1.316842233964621300e-02
3.000000000000000000e+00 9.397413134574890137e-01 3.584660339355468750e+01 6.572939157485961914e-01 1.207874298095703125e+00 1.179540753364562988e-01 1.753153465688228607e-02 9.599077515304088593e-03 1.273779874145475333e-02
4.000000000000000000e+00 1.284333467483520508e+00 2.968200874328613281e+01 7.222576737403869629e-01 8.874347805976867676e-01 1.370468139648437500e-01 2.156714536249637604e-02 1.148307695984840393e-02 8.884068479119378026e-03
5.000000000000000000e+00 1.398247361183166504e+00 2.831338500976562500e+01 6.668697595596313477e-01 6.651427149772644043e-01 1.654161959886550903e-01 2.484803460538387299e-02 1.243128161877393723e-02 3.306737955199423595e-03
6.000000000000000000e+00 1.562537550926208496e+00 2.725182533264160156e+01 5.815553069114685059e-01 6.244650483131408691e-01 1.635485589504241943e-01 2.723735757172107697e-02 1.662893965840339661e-02 2.587011303631925330e-04
7.000000000000000000e+00 1.717838406562805176e+00 2.147938346862792969e+01 4.134850502014160156e-01 1.051527261734008789e-01 1.471071243286132812e-01 3.386231139302253723e-02 2.072513103485107422e-02 3.544282299117185175e-04
8.000000000000000000e+00 1.853725433349609375e+00 2.073209381103515625e+01 3.064605295658111572e-01 1.980990767478942871e-01 8.560287952423095703e-02 3.728794306516647339e-02 2.187303267419338226e-02 1.589079647601465695e-05
9.000000000000000000e+00 1.351747393608093262e+00 2.476405334472656250e+01 2.061579376459121704e-01 2.241977602243423462e-01 6.102766469120979309e-02 3.810094669461250305e-02 2.497023716568946838e-02 1.786129869287833571e-04
1.000000000000000000e+01 6.943195462226867676e-01 2.787391853332519531e+01 9.915971010923385620e-02 2.151582241058349609e-01 1.133909672498703003e-01 1.120175328105688095e-02 2.791746146976947784e-02 1.329227197857107967e-04
1.100000000000000000e+01 1.625229358673095703e+00 2.068140983581542969e+01 3.507395833730697632e-02 2.503291070461273193e-01 8.932784199714660645e-03 4.872246645390987396e-03 5.794964730739593506e-03 2.910893053922336549e-04
1.200000000000000000e+01 8.347669839859008789e-01 1.650062751770019531e+01 2.294208668172359467e-02 5.334978699684143066e-01 3.533518873155117035e-03 1.008753664791584015e-02 2.736626937985420227e-02 5.808407659060321748e-04
